No,Academy Ruangguru,Name,Address,,Unique Name,First Name,End Name,Tutor,Latitude,Longitude,Geocoding Status
21,Brain Academy,Magelang - Mertoyudan,"Ruko Nusantara, Jl. Magelang - Purworejo No.6 Blok R4, Glagah, Banjarnegoro, Kec. Mertoyudan, Kabupaten Magelang, Jawa Tengah 56172",,BAC Mertoyudan,Magelang,Mertoyudan,,-7.5135855,110.1959211,SUCCESS
22,Brain Academy,Cirebon - CSB Mall,"Ruko CSB - Komp. Office Park, Jl. DR. Cipto Mangunkusumo No.26, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat 45131",,BAC CSB Mall,Cirebon,CSB Mall,,-6.7182514,108.5499088,SUCCESS
23,Brain Academy,Sidoarjo - Pondok Jati,"Jl Pondok Jati Blok B No. 1, Kelurahan Jati, Kecamatan Sidoarjo,Kabupaten Sidoarjo, Jawa Timur 61252",,BAC Pondok Jati,Sidoarjo,Pondok Jati Sidoarjo,"Fitria Wulan Sari
Agus Setiawan",-7.4467931,112.7022052,SUCCESS
24,Brain Academy,Kediri - Hasanudin,"Ruko Hasanudin Bisnis Centre, Jl. Hasanudin No.21 blok E, Dandangan, Kec. Kota, Kabupaten Kediri, Jawa Timur 64129",,BAC Hasanudin,Kediri,Hasanudin,,-7.811414799999999,112.0168593,SUCCESS
25,Brain Academy,Makassar - Hertasning,"Jl. Hertasning Bar. No.71, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",,BAC Hertasning,Makassar,Hertasning,,-5.1674541,119.4463926,SUCCESS
26,Brain Academy,Prabumulih - Padat Karya,"Jl. Padat Karya No.333, Gn. Ibul, Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan 31146",,BAC Padat Karya,Prabumulih,Padat Karya,,-3.4169258,104.2675599,SUCCESS
27,Brain Academy,Dumai - Jenderal Sudirman,"Jl. Jendral Sudirman. 391. Kel. Dumai Timur, Dumai Kota, Kec. Dumai Kota, Kota Dumai, Riau",,BAC Jenderal Sudirman,Dumai,Jenderal Sudirman,,1.6789745,101.4484126,SUCCESS
28,Brain Academy,Padang - Tarandam,"Jl. Proklamasi No.48, Alang Laweh, Kec. Padang Sel., Kota Padang, Sumatera Barat 25133",,BAC Tarandam,Padang,Tarandam,,-0.9510149,100.3645969,SUCCESS
29,Brain Academy,Palopo - Andi Kambo,"Jalan Andi Kambo (ex.Merdeka) depan Hotel Value - Ruko No. 6 dan No. 7, Kelurahan Surutanga, Kecamatan Wara Timur, Kota Palopo , Kode Pos 91911",,BAC Andi Kambo,Palopo,Andi Kambo,,-3.0034479,120.2012723,SUCCESS
30,Brain Academy,Kendari - Abdullah Silondae,"Jl. Drs. H. Abdullah Silondae no. 1 . RT. 001/001, Korumba, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111",,BAC Abdullah Silondae,Kendari,Abdullah Silondae,,-3.9708239,122.515061,SUCCESS
31,Brain Academy,Jambi - Thehok,"Jl. Jend. Sudirman, Tambak Sari (Thehok), Kec. Jambi Sel., Kota Jambi, Jambi 36124",,BAC Thehok,Jambi,Thehok,,-1.6110842,103.6242775,SUCCESS
32,Brain Academy,Bengkulu - S. Parman,"Jl. S. Parman No 54 B-C, RT.13/RW.04, Penurunan, Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38223",,BAC S. Parman,Bengkulu,S. Parman,,-3.7989326,102.2681986,SUCCESS
33,Brain Academy,Medan - Yos Sudarso,"Jl. Yos Sudarso No.12 GHI, RW. Lingk 11, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 2011",,BAC Yos Sudarso,Medan,Yos Sudarso Medan,Umi Kalsum,3.5275731,98.6972519,SUCCESS
34,Brain Academy,Medan - Letda Sujono,"Jl. Letda Sujono No.232-233, Bantan Tim., Kec. Medan Tembung, Kota Medan, Sumatera Utara 20223",,BAC Letda Sujono,Medan,Letda Sujono,,3.597750899999999,98.7106877,SUCCESS
