No,Academy Ruangguru,Name,Address,,Unique Name,First Name,End Name,Tutor,Latitude,Longitude,Geocoding Status
97,Brain Academy,Makassar - Sudiang,"Jl. Perintis Kemerdekaan No.62, Ruko 11, Pai, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242",,BAC Sudiang,Makassar,Sudiang,,-5.0756232,119.5223412,SUCCESS
98,Brain Academy,Bandung - Kopo,"Jl. Terusan Kopo Ruko No. 366 F, Kabupaten Bandung, Jawa Barat 40226",,BAC Kopo,Bandung,Kopo,,-6.9758766,107.5646915,SUCCESS
99,Brain Academy,Banda Aceh - Jambo Tape,"Jl. Syiah Kuala No.12, Bandar Baru, Kec. Kuta Alam, Kota Banda Aceh, Aceh 23126",,BAC Jambo Tape,Banda Aceh,Jambo Tape,,5.5620237,95.3302113,SUCCESS
100,Brain Academy,Polewali Mandar - Andi Depu,"Jl. H. Andi Depu, Takatidung, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311",,BAC Andi Depu,Polewali Mandar,Andi Depu,,-3.4210094,119.3253104,SUCCESS
101,Brain Academy,Bandung - Antapani,"Jl. Terusan Jakarta No.30I, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281",,BAC Antapani,Bandung,Antapani,"Michael Suhendra
Mochamad Edwin Iskandar
Ervien Noviyanti",-6.9132903,107.6495712,SUCCESS
102,Brain Academy,Surabaya - Wiyung,"Ruko Taman Pondok Indah no. 12, Kel. Wiyung, Kec. Wiyung, Kota Surabaya, Jawa Timur 60228",,BAC Wiyung,Surabaya,Wiyung,,-7.3156361,112.696698,SUCCESS
103,Brain Academy,Palu - Jenderal Sudirman,"Jl. Sudirman, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111",,BAC Jenderal Sudirman,Palu,Jenderal Sudirman,,-0.896404,119.8691911,SUCCESS
104,Brain Academy,Palembang - Kenten,"Jl. MP. Mangkunegara No.432 (K), RT.005 RW.001 Kel. Bukit Sangkal Kec. Kalidoni, Kota Palembang, Sumatera Selatan 30114",,BAC Kenten,Palembang,Kenten,,-2.9452601,104.7675213,SUCCESS
105,Brain Academy,Bukittinggi - Manggis Ganting,"Jl. Soekarno - Hatta No 2, Rt 001, Rw 04, Kel. Manggis Ganting, Kec. Mandiangin Koto Selayan, Bukittingi. Sumatera Barat 28117",,BAC Manggis Ganting,Bukittinggi,Manggis Ganting,,-0.2988295,100.3776746,SUCCESS
106,Brain Academy,Pekanbaru - Panam,"Jl. Hr. Subrantas KM.10,5 No. 2 RT.4 RW.12. Kel.Tobek Godang, Kec. Binawidya. Kota Pekanbaru, Provinsi Riau, Indonesia 28294",,BAC Panam,Pekanbaru,Panam,,0.4631873,101.3982376,SUCCESS
107,Brain Academy,Semarang - Majapahit,"Jl. Kedungmundu Raya RT 001; RW 005, Kecamatan Tembalang, Kelurahan Sendangmulyo, Semarang 50272",,BAC Majapahit,Semarang,Majapahit,,-7.0248631,110.4674771,SUCCESS
108,Brain Academy,Binjai - Veteran,"Jl. Veteran no 2 Tangsi, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20714",,BAC Veteran,Binjai,Veteran,,3.603691,98.48135599999999,SUCCESS
109,Brain Academy,Palembang - Seberang Ulu,"Jl. KH. Rasyid Sidik No. 50D/50C, Rt 009, Rw 002 Kel. 8 Ulu, Kec. Jakabaring. Kota Palembang 30111",,BAC Seberang Ulu,Palembang,Seberang Ulu,,-3.0007159,104.7673766,SUCCESS
110,Brain Academy,Purwakarta - Martadinata,"Jl. Laks. Laut RE. Martadinata No.82b, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,BAC Martadinata,Purwakarta,Martadinata,,-6.5581802,107.4437782,SUCCESS
111,Brain Academy,Bandar Lampung - Rajabasa,"Jl. ZA Pagar Alam 34 H-I, Kelurahan Gedung Meneng, Kecamatan Rajabasa, Kota Bandar Lampung, Lampung 35144",,BAC Rajabasa,Bandar Lampung,Rajabasa,,-5.375126,105.244412,SUCCESS
112,Brain Academy,Subang - Otista,"Jl. Otista RT 041/011, Kel. Karanganyar, Kec. Subang, Kab. Subang, Jawa Barat 41211",,BAC Otista,Subang,Otista,,-6.561568,107.7687477,SUCCESS
113,Brain Academy,Bandung - MTC,"Komplek Metro Trade Centre blok B37 dan B38, Jl. Soekarno Hatta, Kelurahan Sekejati, Kecamatan Buahbatu, Bandung, Jawa Barat 40286",,BAC MTC,Bandung,MTC Bandung,"Siti Aisyah
Maudina Wilwatikta",-6.941662099999999,107.6590279,SUCCESS
114,Brain Academy,Bone - Ahmad Yani,"Jl. Jend. Ahmad Yani No.Kel, Jeppee, Kec. Tanete Riattang Bar., Kabupaten Bone, Sulawesi Selatan 92711",,BAC Ahmad Yani,Bone,Ahmad Yani,,-4.5401436,120.3195158,SUCCESS
115,Brain Academy,Medan - Johor,"Jl. Karya Wisata Komplek J city no D 37 - 38, Pangkalan masyur, Kec Medan Johor, Kota Medan, Sumatera Utara 2014",,BAC Johor,Medan,Johor,,3.5356483,98.65994040000001,SUCCESS
116,Brain Academy,Jakarta Selatan - Petukangan,"Jl. Ciledug Raya no. 5, RT.004 RW.003, Petukangan Selatan, Pesanggrahan, Jakarta Selatan, DKI Jakarta 12270",,BAC Petukangan,Jakarta Selatan,Petukangan,,-6.238184,106.748846,SUCCESS
117,Brain Academy,Depok - Cinere,"Ruko Pasar Segar Cinere Blok RA. 3, Jl. Cinere Raya no.145, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514",,BAC Cinere,Depok,Cinere,Adzkia Kurnia Khairunnisa,-6.332773700000001,106.7841726,SUCCESS
118,Brain Academy,Denpasar - Jimbaran,"Jl. Uluwatu no 46, Jimbaran, Kuta Selatan, Kab. Badung (Jimbaran Arcade C), Bali 80361",,BAC Jimbaran,Denpasar,Jimbaran,,-8.782285,115.1673793,SUCCESS
119,Brain Academy,Lubuk Pakam - Tengku Raja Muda,Jl. Tengku Raja muda no 3 A - B kel Lubuk Pakam I/II kec Lubuk Pakam Kab Deli Serdang 20517,,BAC Tengku Raja Muda,Lubuk Pakam,Tengku Raja Muda,,3.5578619,98.8686767,SUCCESS
120,Brain Academy,Padang - Gajah Mada,"Jl. Gajah Mada Kp. Olo, Gunung. Kelurahan Pangilun, Kecamatan Nanggalo, Kota Padang, Sumatera Barat 25173",,BAC Gajah Mada,Padang,Gajah Mada,,-0.9079972,100.3661843,SUCCESS
121,Brain Academy,Boyolali - Merdeka,"Jl. Merdeka Timur, Kemiri, Kec. Mojosongo, Kabupaten Boyolali, Jawa Tengah 57321",,BAC Merdeka,Boyolali,Merdeka,,-7.5447046,110.6123397,SUCCESS
122,Brain Academy,Bantul - Gose,"Jl. Kh Wahid Hasyim no.73, Taskombang, Ringinharjo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55713",,BAC Gose,Bantul,Gose,,-7.897250599999999,110.3231292,SUCCESS
123,Brain Academy,Kisaran - Dr. Wahidin,"Jl. Dr. Wahidin No.67, Tegal Sari, Kec. Kota Kisaran Barat, Kabupaten Asahan, Sumatera Utara 21211",,BAC Dr. Wahidin,Kisaran,Dr. Wahidin,,2.9826958,99.6218651,SUCCESS
124,Brain Academy,Malang - Sawojajar,"Jl. Danau Toba G1-E22 , Kelurahan Sawojajar, Kecamatan Kedungkandang, Kota Malang, Jawa Timur 65139",,BAC Sawojajar,Malang,Sawojajar,"Riri Wiyanti Retnaningtyas
Yulinar Amalia Masfufah
Aditya Rizky Wibisono Sapran
Bagas Nadiansah",-7.9804793,112.6568024,SUCCESS
125,Brain Academy,Salatiga - Moh. Yamin,"Jl. Prof. Muh Yamin No.7 Kel. Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50711",,BAC Moh. Yamin,Salatiga,Moh. Yamin,,-7.325446899999998,110.5029146,SUCCESS
126,Brain Academy,Rantau Prapat - Ahmad Yani,"Jl. Ahmad Yani No 104A-B, Bakaran Batu, Kec. Rantau Sel., Kab. Labuhanbatu, Sumatera Utara 21411",,BAC Ahmad Yani,Rantau Prapat,Ahmad Yani,,2.0930066,99.83720269999999,SUCCESS
127,Brain Academy,Magelang - Diponegoro,"Jl. Pangeran Diponegoro no.54, Kelurahan Cacaban, Kecamatan Magelang Tengah, Kota Magelang, Jawa Tengah 56121",,BAC Diponegoro,Magelang,Diponegoro,,-7.481417899999999,110.2141775,SUCCESS
128,Brain Academy,Tangerang - Karawaci,"Jl. Karet Raya no. 26-28, Kelurahan Cibodasari, Kecamatan Cibodas, Kota Tangerang, Banten 15138",,BAC Karawaci,Tangerang,Karawaci,,-6.2101254,106.6115471,SUCCESS
129,Brain Academy,Kuningan - Siliwangi,"Jl. Siliwangi No.176, Purwawinangun, Kec. Kuningan, Kab. Kuningan, Jawa Barat 45511",,BAC Siliwangi,Kuningan,Siliwangi,,-6.9739865,108.4852278,SUCCESS
130,Brain Academy,Pekanbaru - Imam Munandar,"JI. Imam Munandar No.388A, Tengkerang Labuai, Kec. Bukit Raya, Kota Pekanbaru, Riau 28126",,BAC Imam Munandar,Pekanbaru,Imam Munandar,,0.4988619,101.4796176,SUCCESS
131,Brain Academy,Banjarbaru - Ahmad Yani,"Jl. A. Yani KM. 35 Ruko No. 2 - 3, Kelurahan Loktabat Sel, Kecamatan Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714",,BAC Ahmad Yani,Banjarbaru,Ahmad Yani,,-3.4420631,114.8307474,SUCCESS
132,Brain Academy,Banjarmasin - Hasan Bashri,"Jl. Bridgen H. Hasan Basri no. 1 , Kayu Tangi, Kelurahan Pangeran, Kecamatan Banjarmasin Utara, Kota Banjarmasin, Kalimantan Selatan 70124",,BAC Hasan Bashri,Banjarmasin,Hasan Bashri,,-3.2954917,114.5872454,SUCCESS
133,Brain Academy,Jakarta Barat - Cengkareng,"Jl. Raya Kresek, RT.9/RW.13, Kelurahan Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",,BAC Cengkareng,Jakarta Barat,Cengkareng,,-6.1753498,106.7068493,SUCCESS
134,Brain Academy,Yogyakarta - Sagan,"Ruko Sagan Square, Jl. Prof. Herman Yohanes, Kelurahan Terban, Kecamatan Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",,BAC Sagan,Yogyakarta,Sagan Yogyakarta,Muhammad Reza,-7.7814586,110.3791722,SUCCESS
135,Brain Academy,Tegal - Cokroaminoto,"Jl. Hos Cokroaminoto no. 63, Pekauman, Kecamatan Tegal Barat, Kota Tegal, Jawa Tengah 52125",,BAC Cokroaminoto,Tegal,Cokroaminoto,,-6.8666182,109.1342719,SUCCESS
136,Brain Academy,Tulungagung - Dr. Wahidin,"Jl. Dr. Wahidin Sudirohusodo, Kelurahan Kenayan, Kecamatan Tulungagung, Kabupaten Tulungagung, Jawa Timur 66229",,BAC Dr. Wahidin,Tulungagung,Dr. Wahidin,,-8.0557198,111.9117734,SUCCESS
137,Brain Academy,Batam - Batam Center,"Komplek Mahkota Raya Blok A no.16, Teluk Tering, Kecamatan Batam Kota, Kota Batam, Kepulauan Riau 29444",,BAC Batam Center,Batam,Batam Center,,1.1567736,104.0358453,SUCCESS
138,Brain Academy,Jakarta Selatan - Tebet,"Jl. Tebet Raya no. 67, RT.09/RW.01, Kelurahan Tebet Timur, Kecamatan Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",,BAC Tebet,Jakarta Selatan,Tebet,"Widi Alya Zhafira
Muhammad Asadullah Al Ghozi",-6.2300477,106.8517477,SUCCESS
139,Brain Academy,Banyuwangi - Brawijaya,"Jl. Brawijaya II, Kelurahan Mojopanggung, Kecamatan Giri, Kabupaten Banyuwangi, Jawa Timur 68416",,BAC Brawijaya,Banyuwangi,Brawijaya,,-8.2183237,114.3539215,SUCCESS
140,Brain Academy,Probolinggo - Slamet Riyadi,"Jl. Slamet Riyadi no.3A RT.01 / RW.13, Kelurahan Kanigaran, Kecamatan Kanigaran, Kota Probolinggo, Jawa Timur 67213",,BAC Slamet Riyadi,Probolinggo,Slamet Riyadi,,-7.7681817,113.2125537,SUCCESS
141,Brain Academy,Malang - Kepanjen,"Jl. Kawi no. 89 RT. 004 / RW. 005, Kelurahan Kepanjen, Kecamatan Kepanjen, Kabupaten Malang, Jawa Timur 65163",,BAC Kepanjen,Malang,Kepanjen,,-8.1298493,112.5649557,SUCCESS
142,Brain Academy,Sragen - Sukowati,"Jl. Sukowati No.348, Kebayan 1, Kelurahan Sragen Kulon, Kecamatan Sragen, Kabupaten Sragen, Jawa Tengah 57211",,BAC Sukowati,Sragen,Sukowati,,-7.429151600000001,111.0142174,SUCCESS
143,Brain Academy,Wonogiri - Gajahmungkur,"Jl. Pelem 1, Kajen, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57611",,BAC Gajahmungkur,Wonogiri,Gajahmungkur,,-7.8168436,110.9259484,SUCCESS
144,Brain Academy,Sukoharjo - Veteran,"Jl. Veteran RT 002/RW 007, Kelurahan Jetis, Kecamatan Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57511",,BAC Veteran,Sukoharjo,Veteran,,-7.6820167,110.837661,SUCCESS
145,Brain Academy,Bogor - Braja Mustika,"Komplek Ruko Braja Mustika tahap 1, Jl. Dr. Sumeru Blok B.15. RT 002 / RW 001, Kelurahan Menteng, Kecamatan Bogor Barat, Kota Bogor, Jawa Barat 16111",,BAC Braja Mustika,Bogor,Braja Mustika,Freddy Bramantio,-6.5847725,106.7817409,SUCCESS
146,Brain Academy,Pasuruan - Panglima Sudirman,"Jl. Panglima Sudirman no. 95 RT 03/RW 02, Dusun Jambangan, Kelurahan Purworejo, Kecamatan Purworejo, Kota Pasuruan, Jawa Timur 67116",,BAC Panglima Sudirman,Pasuruan,Panglima Sudirman,,-7.6542922,112.8987906,SUCCESS
147,Brain Academy,Bojonegoro - Dr. Cipto,"Jl. Dr. Cipto no. 92, Mojo Kp, Kelurahan Mojokampung, Kecamatan Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62119",,BAC Dr. Cipto,Bojonegoro,Dr. Cipto,,-7.1572517,111.8889048,SUCCESS
148,Brain Academy,Medan - Sisingamangaraja,"Jl. Ir. H. Juanda Blok A no. 8, Kelurahan Pasar Merah Barat, Kecamatan Medan Kota, Kota Medan, Sumatera Utara 20217",,BAC Sisingamangaraja,Medan,Sisingamangaraja,,3.5593192,98.7056035,SUCCESS
149,Brain Academy,Ponorogo - Bhayangkara,"Jl. Bhayangkara no. 26 RT.03/RW.03, Kelurahan Banyudono, Kecamatan Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411",,BAC Bhayangkara,Ponorogo,Bhayangkara,,-7.869046199999999,111.4671484,SUCCESS
150,Brain Academy,Surabaya - Rungkut,"Jl. Rungkut Asri Tengah no. 3 RT. 003/RW. 008, Kelurahan Rungkut Kidul, Kecamatan Rungkut, Kota Surabaya, Jawa Timur 60293",,BAC Rungkut,Surabaya,Rungkut,,-7.327621199999999,112.7759219,SUCCESS
151,Brain Academy,Jakarta Selatan - Jagakarsa,"Jl. Moh. Kahfi 1 RT.06 / RW.01, Kelurahan Cipedak, Kecamatan Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",,BAC Jagakarsa,Jakarta Selatan,Jagakarsa,"Raissa Zhafira Sulaeman
Adzkia Kurnia Khairunnisa
Hana Andari",-6.3510866,106.8015886,SUCCESS
152,Brain Academy,Bengkulu - Selebar,"Jl. Adam Malik 10 RT. 004 / RW. 001, Kel. Pagar Dewa, Kec. Selebar, Kota Bengkulu, Bengkulu 38211",,BAC Selebar,Bengkulu,Selebar,,-3.8439658,102.3183951,SUCCESS
153,Brain Academy,Bandung - Cibiru,"Jl. Raya Cinunuk no.134 RT. 08 / RW.14, Kelurahan Cinunuk, Kecamatan Cileunyi, Kabupaten Bandung, Jawa Barat 40624",,BAC Cibiru,Bandung,Cibiru,Mochamad Edwin Iskandar,-6.936197099999999,107.728333,SUCCESS
154,Brain Academy,Depok - Kelapa Dua,"Jl. Komjen M Jasin no.24 RT. 003 / RW.004, Kelurahan Tugu, Kecamatan Cimanggis, Kota Depok, Jawa Barat 16451",,BAC Kelapa Dua,Depok,Kelapa Dua,,-6.3550495,106.8476866,SUCCESS
155,Brain Academy,Jakarta Utara - Koja,"Jl. Kramat Raya no. 22 E RT.006 / RW.017, Kelurahan Tugu Utara, Kecamatan Koja, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14260",,BAC Koja,Jakarta Utara,Koja,,-6.121439,106.916169,SUCCESS
156,Brain Academy,Tangerang Selatan - Ciputat Timur,"Jl. Ir. H. Juanda no. 71D, RW.01, Kelurahan Rempoa, Kecamatan Ciputat Tim, Kota Tangerang Selatan, Banten 15412",,BAC Ciputat Timur,Tangerang Selatan,Ciputat Timur,,-6.2955476,106.765134,SUCCESS
157,Brain Academy,Soppeng - Lalabata,"Jl. Kemakmuran no.173, Kelurahan Lemba, Kecamatan Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811",,BAC Lalabata,Soppeng,Lalabata,,-4.353907299999999,119.8876093,SUCCESS
158,Brain Academy,Semarang - Ungaran,"Jl. Diponegoro 745/181 no.14 RT.002/RW.003, Kelurahan Dliwang, Kecamatan Ungaran Barat, Kabupaten Semarang, Kota Ungaran, Jawa Tengah 50511",,BAC Ungaran,Semarang,Ungaran,,-7.1319199,110.4041309,SUCCESS
159,Brain Academy,Payakumbuh - Simpang Benteng,"Jl. Ade Irma Suryani No. 20 A RT 002/RW 001, Kel. Kotokociak Kubu Tapak Rajo, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26218",,BAC Simpang Benteng,Payakumbuh,Simpang Benteng,,-0.2228363,100.6391179,SUCCESS
160,Brain Academy,Lhokseumawe - Merdeka,"Jl. Merdeka, Kelurahan Simpang Empat, Kecamatan Banda Sakti, Kota Lhokseumawe, Aceh 24313",,BAC Merdeka,Lhokseumawe,Merdeka,,5.1800843,97.1452313,SUCCESS
161,Brain Academy,Tabanan - Ir. Soekarno,"Jl. Dr. Ir. Soekarno no.100X, Kelurahan Delod Peken, Kecamatan Tabanan, Kabupaten Tabanan, Bali 82121",,BAC Ir. Soekarno,Tabanan,Ir. Soekarno,,-8.5502445,115.1250432,SUCCESS
162,Brain Academy,Tangerang - Ciledug,"Jl. Raden Saleh no.9B, Kelurahan Karang Tengah, Kecamatan Karang Tengah, Kota Tangerang, Banten 15157",,BAC Ciledug,Tangerang,Ciledug,,-6.219864599999999,106.7065165,SUCCESS
163,Brain Academy,Tangerang - Gading Serpong,"Ruko Sentral Gading Serpong Blok SG01 no 10, Jl. Gading Serpong Boulevard No.10, West Pakulonan, Kelapa Dua, Tangerang Regency, Banten 15810",,BAC Gading Serpong,Tangerang,Gading Serpong,Robby Noer Abjuny,-6.2383478,106.630426,SUCCESS
164,Brain Academy,Magetan - Samudra,"Jl. Samudra no.18 RT.04/RW.02, Dusun Bulukerto, Kelurahan Bulukerto, Kecamatan Magetan, Kabupaten Magetan, Jawa Timur 63315",,BAC Samudra,Magetan,Samudra,,-7.6593171,111.334617,SUCCESS
165,Brain Academy,Metro - Sudirman,"Jl. Jendral Sudirman RT .013 / RW. 04, Kelurahan Imopuro, Kecamatan Metro Pusat, Kota Metro, Lampung 34111",,BAC Sudirman,Metro,Sudirman,,-5.1141878,105.3024376,SUCCESS
166,Brain Academy,Pare - Sudirman,"Jl. Pb. Sudirman no.114 (Ruko no 7 dan 9 ), Kelurahan Puhrejo, Kecamatan Pare, Kabupaten Kediri, Jawa Timur 64212",,BAC Sudirman,Pare,Sudirman,,-7.764823000000001,112.186666,SUCCESS
167,Brain Academy,Bekasi - Mustika Jaya,"Ruko Pasadena, Jl. Mutiara Gading Timur Raya no. 31, RT.010/RW.028, Kelurahan Mustikajaya, Kecamatan Mustika Jaya, Kota Bekasi, Jawa Barat 17158",,BAC Mustika Jaya,Bekasi,Mustika Jaya,Mayranda Amin,-6.2869243,107.0318643,SUCCESS
168,Brain Academy,Jakarta Timur - Jatinegara,"Jl. Matraman Raya no. 212 RT 004/RW 003, Kelurahan Kampung Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320",,BAC Jatinegara,Jakarta Timur,Jatinegara,Sergio Nicholas Arifin,-6.2126204,106.9434084,SUCCESS
169,Brain Academy,Bogor - Baranangsiang,"Jl Pajajaran no. 78H RT. 005/RW. 004, Kelurahan Baranangsiang, Kecamatan Bogor Timur, Kota Bogor, Jawa Barat 16143",,BAC Baranangsiang,Bogor,Baranangsiang,Freddy Bramantio,-6.6136142,106.8131871,SUCCESS
170,Brain Academy,Cibinong - Cikaret,"Jl. KSR Dadi Kusmayadi No. 1 RT 02/RW 05, Kelurahan Tengah, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat 16914",,BAC Cikaret,Cibinong,Cikaret,,-6.471519300000001,106.8214794,SUCCESS
171,Brain Academy,Pekalongan - Diponegoro,"Jl. Diponegoro no. 43 RT. 001/RW. 03, Kelurahan Dukuh, Kecamatan Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51146",,BAC Diponegoro,Pekalongan,Diponegoro,,-6.8841113,109.6704001,SUCCESS
172,Brain Academy,Surabaya - Gayungsari,"Jl. Gayungsari Barat no. 74 RT. 03/RW. 05, Kelurahan Gayungan, Kecamatan Gayungan, Kota Surabaya, Jawa Timur 60235",,BAC Gayungsari,Surabaya,Gayungsari,,-7.3336217,112.7194973,SUCCESS
173,Brain Academy,Sukabumi - Sudirman,"Jl. Veteran 1 RT. 001/RW. 003, Kelurahan Gunung Parang, Kecamatan Cikole, Kabupaten Sukabumi, Jawa Barat 43111",,BAC Sudirman,Sukabumi,Sudirman,,-6.9201953,106.9219007,SUCCESS
174,Brain Academy,Bontang - Brigjen Katamso,"Jl. Brigjen Katamso no. 8 RT. 44, Kelurahan Belimbing, Kecamatan Bontang Barat, Kota Bontang, Kalimantan Timur 75331",,BAC Brigjen Katamso,Bontang,Brigjen Katamso,,0.1360771,117.4678908,SUCCESS
175,Brain Academy,Sidoarjo - Trunojoyo,"Jl. Trunojoyo no.7 RT. 004/RW. 002, Kelurahan Sidoklumpuk, Kecamatan Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61218",,BAC Trunojoyo,Sidoarjo,Trunojoyo,,-7.4476596,112.7224982,SUCCESS
176,Brain Academy,Kubu Raya - Serdam,"Jl. Sungai Raya Dalam no. A11, Kelurahan Sungai Raya, Kecamatan Sungai Raya, Kabupaten Kubu Raya, Kota Pontianak, Kalimantan Barat 78391",,BAC Serdam,Kubu Raya,Serdam,,-0.0748812,109.3584166,SUCCESS
177,Brain Academy,Bekasi - Bintara,"Ruko Puri Bintara Blok S no. 4 RT 20/RW 02, Kelurahan Bintara, Kecamatan Bekasi Barat, Kota Bekasi, Jawa Barat 17145",,BAC Bintara,Bekasi,Bintara,,-6.2294128,106.949837,SUCCESS
178,Brain Academy,Jakarta Pusat - Cempaka Putih,"Jl. Cempaka Putih Tengah II Blok B no. 8, RT 11/RW 05, Kelurahan Cempaka Putih Timur, Kecamatan Cempaka Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510",,BAC Cempaka Putih,Jakarta Pusat,Cempaka Putih,"Tiara Athifah Felicia
Mega Mariesta
Benita Saraswati",-6.172512100000001,106.866251,SUCCESS
179,Brain Academy,Jakarta Timur - Buaran,"Pertokoan Taman Buaran Indah I, Jalan Raden inten II Blok B 206. RT. 01/RW. 14, Kelurahan Duren Sawit, Kecamatan Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470",,BAC Buaran,Jakarta Timur,Buaran,"Sarah Imtinan Basalim
Rendy Kurniawan
Mega Mariesta
Khadijah Rizky",-6.237734499999999,106.9222025,SUCCESS
180,Brain Academy,Bekasi - Jatibening,"Jl. Caman Raya no. 17 B RT 03/RW 03, Kelurahan Jatibening, Kecamatan Pondok Gede, Kota Bekasi, Jawa Barat 17412",,BAC Jatibening,Bekasi,Jatibening,Rendy Kurniawan,-6.2630621,106.9453369,SUCCESS
181,Brain Academy,Jakarta Timur - Condet,"Jl. Raya Condet RT. 011/RW. 03, Kelurahan Batu Ampar, Kecamatan Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,BAC Condet,Jakarta Timur,Condet,"Robby Noer Abjuny
Ludya Kesturi
Rendy Kurniawan",-6.2952239,106.8559266,SUCCESS
182,Brain Academy,Jakarta Selatan - Pejaten,"Jl. Warung Buncit Raya no. 4B, RT.003/RW.05, Kelurahan Kalibata, Kecamatan Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,BAC Pejaten,Jakarta Selatan,Pejaten,"Mokhammad Ardafillah
Alberta Michelle",-6.263974800000001,106.8371966,SUCCESS
183,Brain Academy,Singaraja - Ahmad Yani,"Jl. Ahmad Yani, Kelurahan Kampung Kajanan, Kecamatan Buleleng, Bali 81114",,BAC Ahmad Yani,Singaraja,Ahmad Yani,,-8.1103155,115.0883609,SUCCESS
184,Brain Academy,Tangerang - Sangiang,"Jl. Moh Toha 1 RT 001/RW 004, Kelurahan Pabuaran Tumpeng, Kecamatan Karawaci, Kota Tangerang, Banten 15112",,BAC Sangiang,Tangerang,Sangiang,,-6.1707179,106.6095683,SUCCESS
185,Brain Academy,Bandung - Padalarang,"Jl. Raya Purwakarta 78 RT 04 / RW 10, Kelurahan Kertamulya, Kecamatan Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,BAC Padalarang,Bandung,Padalarang,,-6.8381428,107.4879283,SUCCESS
186,Brain Academy,Bandung - Setiabudi,"Jl. Dr Setiabudhi 206B RT000/RW00, Kelurahan Hergamanah, Kecamatan Cidadap, Kota Bandung, Jawa Barat 40141",,BAC Setiabudi,Bandung,Setiabudi,"Ihsan Nur Iman Faris
Maudina Wilwatikta
Mochamad Edwin Iskandar",-6.868595999999999,107.5937436,SUCCESS
187,Brain Academy,Palembang - Sukarami,"Jl. Pengadilan tinggi no. 2735 E dan no. 2735 F RT. 035/RW. 010, Kelurahan Karya baru, Kecamatan Alang-alang lebar, Kota Palembang, Sumatera Selatan 30961",,BAC Sukarami,Palembang,Sukarami,,-2.9271599,104.7143901,SUCCESS
188,Brain Academy,Padang - Sutomo,"Jl. Dr. Sutomo no. 22C, Kelurahan Kubu Marapalam, Kecamatan Padang Timur, Kota Padang, Sumatera Barat 25143",,BAC Sutomo,Padang,Sutomo,,-0.9462737999999999,100.379485,SUCCESS
189,Brain Academy,Padang - Ujung Gurun,"Jl. Ujung Gurun no. 150C, Kelurahan Ujung Gurun, Kecamatan Padang Barat, Sumatera Barat 25114",,BAC Ujung Gurun,Padang,Ujung Gurun,,-0.9344859999999999,100.3569202,SUCCESS
190,Brain Academy,Cikarang - Cifest,"Ruko Cikarang Central City, Blok F no. 25, Jl. Raya Cikarang - Cibarusah, Desa Sukadami, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Jawa Barat 17530",,BAC Cifest,Cikarang,Cifest,,-6.3407733,107.1201184,SUCCESS
191,Brain Academy,Bekasi - Agus Salim,"Jl. H. Agus Salim no. 151-152, RT.001/RW.008, Kelurahan Bekasi Jaya, Kecamatan Bekasi Timur, Kota Bekasi, Jawa Barat 17112",,BAC Agus Salim,Bekasi,Agus Salim,Rendy Kurniawan,-6.2311064,107.0099369,SUCCESS
